,scores
0,0.0
1,-0.009999999776482582
2,0.0
3,-0.009999999776482582
4,0.0
5,-0.009999999776482582
6,0.0
7,-0.009999999776482582
8,0.0
9,-0.009999999776482582
10,-0.009999999776482582
11,0.0
12,0.0
13,-0.009999999776482582
14,-0.009999999776482582
15,0.0
16,0.0
17,-0.009999999776482582
18,0.0
19,-0.009999999776482582
20,0.0
21,-0.009999999776482582
22,0.0
23,-0.009999999776482582
24,0.0
25,-0.009999999776482582
26,0.0
27,-0.009999999776482582
28,0.0
29,-0.009999999776482582
30,0.0
31,-0.009999999776482582
32,-0.009999999776482582
33,0.0
34,-0.009999999776482582
35,0.0
36,-0.009999999776482582
37,0.0
38,-0.009999999776482582
39,0.0
40,0.0
41,-0.009999999776482582
42,0.0
43,-0.009999999776482582
44,0.0
45,-0.009999999776482582
46,0.0
47,-0.009999999776482582
48,-0.009999999776482582
49,0.0
50,0.0
51,-0.009999999776482582
52,0.0
53,-0.009999999776482582
54,0.0
55,-0.009999999776482582
56,0.0
57,-0.009999999776482582
58,0.0
59,-0.009999999776482582
60,-0.009999999776482582
61,0.0
62,0.0
63,-0.009999999776482582
64,0.0
65,-0.009999999776482582
66,-0.009999999776482582
67,0.0
68,-0.009999999776482582
69,0.0
70,0.0
71,-0.009999999776482582
72,0.0
73,-0.009999999776482582
74,0.10000000149011612
75,-0.009999999776482582
76,0.0
77,-0.009999999776482582
78,0.0
79,-0.009999999776482582
80,-0.009999999776482582
81,0.0
82,-0.009999999776482582
83,0.0
84,0.0
85,-0.009999999776482582
86,0.0
87,-0.009999999776482582
88,0.0
89,-0.009999999776482582
90,-0.009999999776482582
91,0.0
92,-0.009999999776482582
93,0.0
94,0.0
95,-0.009999999776482582
96,0.0
97,-0.009999999776482582
98,0.10000000149011612
99,-0.009999999776482582
100,0.0
101,-0.009999999776482582
102,0.0
103,-0.009999999776482582
104,0.0
105,-0.009999999776482582
106,0.0
107,-0.009999999776482582
108,0.0
109,-0.009999999776482582
110,0.0
111,-0.009999999776482582
112,-0.009999999776482582
113,0.0
114,0.0
115,-0.009999999776482582
116,0.0
117,-0.009999999776482582
118,0.0
119,-0.009999999776482582
120,-0.009999999776482582
121,0.0
122,0.0
123,-0.009999999776482582
124,0.0
125,-0.009999999776482582
126,-0.009999999776482582
127,0.0
128,-0.009999999776482582
129,0.0
130,-0.009999999776482582
131,0.10000000149011612
132,0.0
133,-0.009999999776482582
134,0.0
135,-0.009999999776482582
136,-0.009999999776482582
137,0.0
138,-0.009999999776482582
139,0.0
140,-0.009999999776482582
141,0.0
142,-0.009999999776482582
143,0.0
144,-0.009999999776482582
145,0.0
146,0.0
147,0.09000000171363354
148,-0.009999999776482582
149,0.0
150,0.0
151,-0.009999999776482582
152,-0.009999999776482582
153,0.0
154,0.0
155,-0.009999999776482582
156,-0.009999999776482582
157,0.0
158,-0.009999999776482582
159,0.0
160,0.0
161,-0.009999999776482582
162,-0.009999999776482582
163,0.0
164,0.0
165,-0.009999999776482582
166,0.0
167,-0.009999999776482582
168,-0.009999999776482582
169,0.0
170,0.0
171,-0.009999999776482582
172,0.0
173,-0.009999999776482582
174,0.0
175,-0.009999999776482582
176,0.0
177,-0.009999999776482582
178,0.0
179,-0.009999999776482582
180,0.0
181,-0.009999999776482582
182,-0.009999999776482582
183,0.0
184,-0.009999999776482582
185,0.0
186,0.0
187,-0.009999999776482582
188,0.10000000149011612
189,0.09000000171363354
190,0.0
191,-0.009999999776482582
192,0.09000000171363354
193,0.10000000149011612
194,0.0
195,-0.009999999776482582
196,0.0
197,-0.009999999776482582
198,0.0
199,-0.009999999776482582
200,0.0
201,-0.009999999776482582
202,0.10000000149011612
203,0.09000000171363354
204,0.0
205,-0.009999999776482582
206,0.0
207,-0.009999999776482582
208,0.10000000149011612
209,-0.009999999776482582
210,-0.009999999776482582
211,0.0
212,0.0
213,-0.009999999776482582
214,0.0
215,-0.009999999776482582
216,0.0
217,-0.009999999776482582
218,-0.009999999776482582
219,0.0
220,0.0
221,-0.009999999776482582
222,0.10000000149011612
223,-0.009999999776482582
224,0.0
225,-0.009999999776482582
